EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary,Bonus %,Country,City,Exit Date
E001,Mohammad Baker,Data and AI Engineer,IT,Research & Development,Male,Asian,24.0,2025-01-01,1500.0,15%,Jordan,Amman,Still Working
E002,Sara Ahmed,Software Developer,Engineering,Technology,Female,Middle Eastern,27.0,2022-08-15,2200.0,10%,Jordan,Zarqa,2024-11-01
E003,Ali Hassan,Systems Analyst,IT,Infrastructure,Male,Middle Eastern,31.0,2021-04-10,1800.0,8%,Jordan,Irbid,Still Working
E004,Layla Youssef,UI/UX Designer,Design,Product,Female,African,29.0,2020-12-05,2000.0,12%,Jordan,Amman,2023-06-30
E005,Omar Nasser,Cloud Engineer,DevOps,Cloud Services,Male,Asian,26.0,2023-03-20,2100.0,9%,Jordan,Aqaba,Still Working
E006,Joshua Gupta,Account Representative,Sales,Corporate,Male,Asian,61.0,2017-01-24,50994.0,0% ,China,Chongqing,Still Working
E007,Ruby Barnes,Manager,IT,Corporate,Female,Caucasian,31.0,2020-07-01,119746.0,10% ,United States,Phoenix,Still Working
E008,Luke Martin,Analyst,Finance,Manufacturing,Male,Black,29.0,2020-05-16,41336.0,0% ,United States,Miami,2021-05-20
E009,Easton Bailey,Manager,Accounting,Manufacturing,Male,Caucasian,33.0,2019-01-25,113527.0,6% ,United States,Austin,Still Working
E010,Madeline Walker,Sr. Analyst,Finance,Speciality Products,Female,Caucasian,38.0,2018-06-13,77203.0,0% ,United States,Chicago,Still Working
E011,Savannah Ali,Sr. Manger,Human Resources,Manufacturing,Female,Asian,40.0,2009-02-11,157333.0,15% ,United States,Miami,Still Working
E012,Camila Rogers,Controls Engineer,Engineering,Speciality Products,Female,Caucasian,31.0,2021-10-21,113326.7,0% ,United States,Seattle,Still Working
E013,Eli Jones,Manager,Human Resources,Manufacturing,Male,Caucasian,63.0,1999-03-14,105086.0,9% ,United States,Austin,Still Working
E014,Everleigh Ng,Sr. Manger,Finance,Research & Development,Female,Asian,55.0,2021-06-10,146742.0,10% ,China,Shanghai,Still Working
E015,Robert Yang,Sr. Analyst,Accounting,Speciality Products,Male,Asian,35.0,2017-11-04,97078.0,0% ,United States,Austin,2020-03-09
E016,Isabella Xi,Vice President,Marketing,Research & Development,Female,Asian,45.0,2013-03-13,249270.0,30% ,United States,Seattle,Still Working
E017,Bella Powell,Director,Finance,Research & Development,Female,Black,69.0,2002-03-04,175837.0,20% ,United States,Phoenix,Still Working
E018,Camila Silva,Sr. Manger,Marketing,Speciality Products,Female,Latino,68.0,2003-12-01,154828.0,0%,United States,Seattle,Still Working
E019,Adam Dang,Director,Sales,Research & Development,Male,Asian,49.0,2002-07-09,166331.0,18% ,China,Chongqing,Still Working
E020,Elias Alvarado,Sr. Manger,IT,Manufacturing,Male,Latino,60.0,2012-01-09,146140.0,10% ,Brazil,Manaus,Still Working
E021,Eva Rivera,Director,Sales,Manufacturing,Female,Latino,40.0,2021-04-02,151703.0,21% ,United States,Miami,Still Working
E022,Logan Rivera,Director,IT,Research & Development,Male,Latino,63.0,2002-05-24,172787.0,28% ,Brazil,Rio de Janerio,Still Working
E023,Leonardo Dixon,Analyst,Sales,Speciality Products,Male,Caucasian,41.0,2019-09-05,49998.0,0% ,United States,Seattle,Still Working
E024,Mateo Her,Vice President,Sales,Speciality Products,Male,Asian,48.0,2014-03-02,207172.0,31% ,China,Chongqing,Still Working
E025,Jose Henderson,Director,Human Resources,Speciality Products,Male,Black,45.0,2015-04-17,152239.0,23% ,United States,Columbus,Still Working
E026,Abigail Mejia,Quality Engineer,Engineering,Corporate,Female,Latino,60.0,2005-02-05,98581.0,0% ,Brazil,Rio de Janerio,Still Working
